dataset,split_index,bucket,num_nodes,num_test,core_score_mean,degree_mean,depth_agreement_mean,neighbor_consistency_mean,residual_norm_mean,topk_positive_label_agreement,edge_label_agreement,raw_test_error,prop2_test_error,concat_test_error,prop2_minus_raw_error,concat_minus_raw_error
Cora,0,low_core,903,717,0.1666051149368286,3.475083112716675,0.7308444380760193,0.62342768907547,3.483887195587158,0.7643964290618896,0.7533469796180725,0.42398884892463684,0.19246861338615417,0.19944211840629578,-0.23152022063732147,-0.22454671561717987
Cora,0,mid_core,902,730,0.5,3.966740608215332,0.7745991945266724,0.7174437642097473,3.274937868118286,0.8159645199775696,0.8210304379463196,0.3397260308265686,0.15890410542488098,0.1863013654947281,-0.18082191050052643,-0.15342465043067932
Cora,0,high_core,903,717,0.8333950042724609,4.252491474151611,0.8311463594436646,0.8324346542358398,2.9175798892974854,0.8343023061752319,0.9010916352272034,0.3082287311553955,0.14365410804748535,0.19804741442203522,-0.16457462310791016,-0.1101813092827797
Cora,1,low_core,903,725,0.1666051149368286,3.475083112716675,0.7308444380760193,0.62342768907547,3.483887195587158,0.7643964290618896,0.7533469796180725,0.4137931168079376,0.19310344755649567,0.19034482538700104,-0.22068965435028076,-0.2234482765197754
Cora,1,mid_core,902,731,0.5,3.966740608215332,0.7745991945266724,0.7174437642097473,3.274937868118286,0.8159645199775696,0.8210304379463196,0.34336525201797485,0.18057455122470856,0.19425444304943085,-0.1627907007932663,-0.149110808968544
Cora,1,high_core,903,708,0.8333950042724609,4.252491474151611,0.8311463594436646,0.8324346542358398,2.9175798892974854,0.8343023061752319,0.9010916352272034,0.26977401971817017,0.13276836276054382,0.17090395092964172,-0.13700565695762634,-0.09887005388736725
Cora,2,low_core,903,720,0.1666051149368286,3.475083112716675,0.7308444380760193,0.62342768907547,3.483887195587158,0.7643964290618896,0.7533469796180725,0.41111111640930176,0.17499999701976776,0.17777778208255768,-0.2361111044883728,-0.23333333432674408
Cora,2,mid_core,902,719,0.5,3.966740608215332,0.7745991945266724,0.7174437642097473,3.274937868118286,0.8159645199775696,0.8210304379463196,0.35744088888168335,0.1627260148525238,0.18080668151378632,-0.19471488893032074,-0.17663420736789703
Cora,2,high_core,903,725,0.8333950042724609,4.252491474151611,0.8311463594436646,0.8324346542358398,2.9175798892974854,0.8343023061752319,0.9010916352272034,0.30344828963279724,0.1503448337316513,0.18344826996326447,-0.15310344099998474,-0.11999999731779099
Cora,3,low_core,903,720,0.1666051149368286,3.475083112716675,0.7308444380760193,0.62342768907547,3.483887195587158,0.7643964290618896,0.7533469796180725,0.4444444477558136,0.1666666716337204,0.18194444477558136,-0.2777777910232544,-0.26249998807907104
Cora,3,mid_core,902,727,0.5,3.966740608215332,0.7745991945266724,0.7174437642097473,3.274937868118286,0.8159645199775696,0.8210304379463196,0.3562586009502411,0.13204951584339142,0.17331498861312866,-0.22420908510684967,-0.18294359743595123
Cora,3,high_core,903,717,0.8333950042724609,4.252491474151611,0.8311463594436646,0.8324346542358398,2.9175798892974854,0.8343023061752319,0.9010916352272034,0.2663877308368683,0.1450488120317459,0.17991632223129272,-0.12133891135454178,-0.08647140860557556
Cora,4,low_core,903,727,0.1666051149368286,3.475083112716675,0.7308444380760193,0.62342768907547,3.483887195587158,0.7643964290618896,0.7533469796180725,0.42503437399864197,0.1623108685016632,0.19532324373722076,-0.26272353529930115,-0.2297111451625824
Cora,4,mid_core,902,707,0.5,3.966740608215332,0.7745991945266724,0.7174437642097473,3.274937868118286,0.8159645199775696,0.8210304379463196,0.3366336524486542,0.1527581363916397,0.17114569246768951,-0.18387553095817566,-0.16548797488212585
Cora,4,high_core,903,730,0.8333950042724609,4.252491474151611,0.8311463594436646,0.8324346542358398,2.9175798892974854,0.8343023061752319,0.9010916352272034,0.2863013744354248,0.11917807906866074,0.15342465043067932,-0.16712328791618347,-0.1328767091035843
CiteSeer,0,low_core,1109,897,0.16656646132469177,2.3724076747894287,0.7743257880210876,0.6310688257217407,4.142627716064453,0.6434851288795471,0.6279542446136475,0.3578595221042633,0.2831661105155945,0.284280925989151,-0.07469341903924942,-0.0735785961151123
CiteSeer,0,mid_core,1109,878,0.5,2.984670877456665,0.8088001012802124,0.790669858455658,4.133650302886963,0.6688458323478699,0.7069106698036194,0.339407742023468,0.2596811056137085,0.2642368972301483,-0.07972665131092072,-0.0751708447933197
CiteSeer,0,high_core,1109,886,0.8334335684776306,2.852118968963623,0.8719651699066162,0.9145558476448059,3.5518033504486084,0.6468665599822998,0.7838826179504395,0.32054176926612854,0.28781038522720337,0.30925509333610535,-0.032731376588344574,-0.011286681517958641
CiteSeer,1,low_core,1109,886,0.16656646132469177,2.3724076747894287,0.7743257880210876,0.6310688257217407,4.142627716064453,0.6434851288795471,0.6279542446136475,0.3758465051651001,0.28893905878067017,0.284424364566803,-0.08690744638442993,-0.09142211824655533
CiteSeer,1,mid_core,1109,888,0.5,2.984670877456665,0.8088001012802124,0.790669858455658,4.133650302886963,0.6688458323478699,0.7069106698036194,0.3400900959968567,0.2545045018196106,0.27927929162979126,-0.0855855867266655,-0.06081081181764603
CiteSeer,1,high_core,1109,887,0.8334335684776306,2.852118968963623,0.8719651699066162,0.9145558476448059,3.5518033504486084,0.6468665599822998,0.7838826179504395,0.35174745321273804,0.286358505487442,0.31454339623451233,-0.06538895517587662,-0.03720405697822571
CiteSeer,2,low_core,1109,887,0.16656646132469177,2.3724076747894287,0.7743257880210876,0.6310688257217407,4.142627716064453,0.6434851288795471,0.6279542446136475,0.3585118353366852,0.29199549555778503,0.29312288761138916,-0.06651634722948074,-0.06538895517587662
CiteSeer,2,mid_core,1109,886,0.5,2.984670877456665,0.8088001012802124,0.790669858455658,4.133650302886963,0.6688458323478699,0.7069106698036194,0.32844242453575134,0.2584650218486786,0.2663656771183014,-0.06997742503881454,-0.06207675114274025
CiteSeer,2,high_core,1109,888,0.8334335684776306,2.852118968963623,0.8719651699066162,0.9145558476448059,3.5518033504486084,0.6468665599822998,0.7838826179504395,0.3243243098258972,0.3029279410839081,0.3006756901741028,-0.021396396681666374,-0.02364864945411682
