run_dir,dataset,method,seed,model_seed,split_seed,split_index,metric_accuracy,metric_F1Mi,metric_F1Ma,metric_val_accuracy,metric_best_c,metric_num_train,metric_num_val,metric_num_test,split_train_count,split_val_count,split_test_count,split_train_ratio,split_val_ratio,split_test_ratio,split_split_protocol,split_total_count,diag_shuffle_positives,diag_neg_suppression,diag_semantic_topk,diag_semantic_weight,diag_num_negatives,diag_signature_hops,diag_signature_dim,diag_raw_preserved,diag_raw_weight,diag_gcl_weight,diag_gate_signal,diag_gate_signal_value,diag_gate_threshold,diag_gate_temperature,diag_gate_hard,diag_gate_soft_alpha,diag_gate_alpha,diag_semantic_top1_key_sim
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split0_e50,Cora,cg_hpfs,0,0,2026,0,0.7957486136783734,0.7957486136783734,0.7776533863699834,0.8272058823529411,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635237097740173
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split1_e50,Cora,cg_hpfs,0,0,2027,1,0.805452865064695,0.805452865064695,0.7854826039953039,0.8161764705882353,0.1,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635235905647278
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split2_e50,Cora,cg_hpfs,0,0,2028,2,0.8040665434380776,0.8040665434380776,0.783573878945906,0.8088235294117647,0.1,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635236501693726
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split3_e50,Cora,cg_hpfs,0,0,2029,3,0.7952865064695009,0.7952865064695009,0.7700706276681262,0.8382352941176471,0.03,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635237097740173
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split4_e50,Cora,cg_hpfs,0,0,2030,4,0.7999075785582255,0.7999075785582255,0.79100619523304,0.7757352941176471,1.0,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635236501693726
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split5_e50,Cora,cg_hpfs,0,0,2031,5,0.8096118299445472,0.8096118299445472,0.79216671145608,0.8345588235294118,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635237097740173
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split6_e50,Cora,cg_hpfs,0,0,2032,6,0.8211645101663586,0.8211645101663586,0.806601628433216,0.7904411764705882,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635236501693726
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split7_e50,Cora,cg_hpfs,0,0,2033,7,0.8073012939001848,0.8073012939001848,0.7927948026109394,0.8345588235294118,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635236501693726
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split8_e50,Cora,cg_hpfs,0,0,2034,8,0.7925138632162662,0.7925138632162662,0.7761160802524145,0.8272058823529411,0.1,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635236501693726
runs/complement_gate_splits0-9_e50/Cora_cg_hpfs_seed0_split9_e50,Cora,cg_hpfs,0,0,2035,9,0.7860443622920518,0.7860443622920518,0.7626756125576785,0.8382352941176471,0.03,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,edge_feature_cos_lift,0.1118554025888443,0.13,0.02,True,0.28756701946258545,0.0,0.5635236501693726
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split0_e50,CiteSeer,cg_hpfs,0,0,2026,0,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.7387387387387387,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
