dataset,method,shuffle_positives,neg_suppression,semantic_weight,raw_preserved,num_runs,accuracy_mean,F1Mi_mean,F1Ma_mean,delta_vs_grace_F1Mi_mean,delta_vs_grace_F1Ma_mean,positive_F1Mi,negative_F1Mi
CiteSeer,grace,False,False,,,1,0.6952273581360391,0.6952273581360391,0.6227034911287084,,,0,0
CiteSeer,hpfs_gcl,False,True,0.0,,1,0.6971063509958663,0.6971063509958663,0.6244408627979735,0.0018789928598271777,0.0017373716692651309,1,0
CiteSeer,hpfs_gcl,False,True,0.1,,1,0.6997369409996242,0.6997369409996242,0.6359741910233184,0.00450958286358516,0.01327069989461005,1,0
CiteSeer,hpfs_gcl,False,True,,,1,0.705749718151071,0.705749718151071,0.6466902389230683,0.010522360015031929,0.02398674779435994,1,0
CiteSeer,raw_features,False,False,,,1,0.6050357008643367,0.6050357008643367,0.5500543152972285,-0.09019165727170242,-0.0726491758314799,0,1
CiteSeer,rpgcl_auto,False,True,0.5,True,1,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.018038331454340417,0.019058760046434253,1,0
CiteSeer,rpgcl_grace,False,False,0.5,True,1,0.7053739195791056,0.7053739195791056,0.6354597522209285,0.01014656144306647,0.012756261092220167,1,0
CiteSeer,rpgcl_hpfs,False,True,0.5,True,1,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.018038331454340417,0.019058760046434253,1,0
Cora,grace,False,False,,,1,0.7957486136783734,0.7957486136783734,0.7745856958961893,,,0,0
Cora,hpfs_gcl,False,True,0.0,,1,0.7962107208872459,0.7962107208872459,0.7757854955191358,0.00046210720887251977,0.0011997996229464736,1,0
Cora,hpfs_gcl,False,True,0.1,,1,0.7962107208872459,0.7962107208872459,0.7754317173238718,0.00046210720887251977,0.0008460214276825306,1,0
Cora,hpfs_gcl,False,True,,,1,0.7971349353049908,0.7971349353049908,0.7730628546534373,0.0013863216266174483,-0.0015228412427520377,1,0
Cora,raw_features,False,False,,,1,0.583641404805915,0.583641404805915,0.5498366385642323,-0.21210720887245837,-0.22474905733195705,0,1
Cora,rpgcl_auto,False,True,0.5,False,1,0.7971349353049908,0.7971349353049908,0.7730628546534373,0.0013863216266174483,-0.0015228412427520377,1,0
Cora,rpgcl_grace,False,False,0.5,True,1,0.7860443622920518,0.7860443622920518,0.7649040948056666,-0.009704251386321583,-0.00968160109052274,0,1
Cora,rpgcl_hpfs,False,True,0.5,True,1,0.7920517560073937,0.7920517560073937,0.7718197549468362,-0.003696857670979603,-0.0027659409493531184,0,1
PubMed,grace,False,False,,,1,0.8358587459582831,0.8358587459582831,0.8318898894182506,,,0,0
PubMed,hpfs_gcl,False,True,0.0,,1,0.8352881506371648,0.8352881506371648,0.8314320238285627,-0.0005705953211183612,-0.00045786558968785585,0,1
PubMed,hpfs_gcl,False,True,0.1,,1,0.8350345527166677,0.8350345527166677,0.8311723025570128,-0.000824193241615423,-0.0007175868612377956,0,1
PubMed,hpfs_gcl,False,True,,,1,0.8344005579154251,0.8344005579154251,0.8306124731092547,-0.0014581880428580218,-0.0012774163089959156,0,1
PubMed,raw_features,False,False,,,1,0.8293285995054841,0.8293285995054841,0.828937172087587,-0.006530146452799035,-0.002952717330663601,0,1
PubMed,rpgcl_auto,False,True,0.5,True,1,0.8494262347048754,0.8494262347048754,0.847805379263094,0.013567488746592304,0.015915489844843367,1,0
PubMed,rpgcl_grace,False,False,0.5,True,1,0.8490458378241298,0.8490458378241298,0.8474949245373732,0.013187091865846656,0.01560503511912259,1,0
PubMed,rpgcl_hpfs,False,True,0.5,True,1,0.8494262347048754,0.8494262347048754,0.8477890773487142,0.013567488746592304,0.015899187930463632,1,0
