dataset,method,shuffle_positives,neg_suppression,semantic_weight,raw_preserved,num_runs,accuracy_mean,delta_vs_grace_accuracy_mean,positive_accuracy,negative_accuracy,F1Mi_mean,F1Ma_mean,delta_vs_grace_F1Mi_mean,delta_vs_grace_F1Ma_mean,positive_F1Mi,negative_F1Mi
CiteSeer,grace,False,False,0.5,False,3,0.6958536890893149,,0,0,0.6958536890893149,0.6198030405043545,,,0,0
CiteSeer,raw_features,False,False,0.5,False,3,0.6057872980082676,-0.09006639108104726,0,3,0.6057872980082676,0.5627002184445603,-0.09006639108104726,-0.05710282205979419,0,3
CiteSeer,rpgcl_auto,False,True,0.5,False,1,0.6993611424276588,0.010522360015031929,1,0,0.6993611424276588,0.631514975484329,0.010522360015031929,0.030219878234063913,1,0
CiteSeer,rpgcl_auto,False,True,0.5,True,2,0.714956783164224,0.015595640736565164,2,0,0.714956783164224,0.6417886343766857,0.015595640736565164,0.012731622245286456,2,0
Cora,grace,False,False,0.5,False,3,0.8002156500308071,,0,0,0.8002156500308071,0.7779156246238772,,,0,0
Cora,raw_features,False,False,0.5,False,3,0.5936537276648183,-0.20656192236598891,0,3,0.5936537276648183,0.5575931711915216,-0.20656192236598891,-0.22032245343235554,0,3
Cora,rpgcl_auto,False,True,0.5,False,3,0.8025261860751695,0.0023105360443623026,2,1,0.8025261860751695,0.7797250169905358,0.0023105360443623026,0.0018093923666586316,2,1
PubMed,grace,False,False,0.5,False,3,0.8357319469980347,,0,0,0.8357319469980347,0.8315581927745779,,,0,0
PubMed,raw_features,False,False,0.5,False,3,0.8320759103108687,-0.0036560366871658534,0,3,0.8320759103108687,0.8307566825185262,-0.0036560366871658534,-0.0008015102560516482,0,3
PubMed,rpgcl_auto,False,True,0.5,True,3,0.8523848771106742,0.016652930112639686,3,0,0.8523848771106742,0.8496846245877526,0.016652930112639686,0.01812643181317486,3,0
