run_dir,dataset,method,seed,split_index,metric_accuracy,metric_F1Mi,metric_F1Ma,metric_val_accuracy,metric_best_c,metric_num_train,metric_num_val,metric_num_test,split_train_count,split_val_count,split_test_count,split_train_ratio,split_val_ratio,split_test_ratio,split_split_protocol,split_total_count,diag_shuffle_positives,diag_neg_suppression,diag_semantic_topk,diag_semantic_weight,diag_num_negatives,diag_signature_hops,diag_signature_dim,diag_raw_preserved,diag_raw_weight,diag_gcl_weight
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_raw_features_seed0_split0_e50,Cora,raw_features,0,0,0.583641404805915,0.583641404805915,0.5498366385642323,0.6066176470588235,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_grace_seed0_split0_e50,Cora,grace,0,0,0.7962107208872459,0.7962107208872459,0.7750597021556869,0.8198529411764706,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_rpgcl_auto_seed0_split0_e50,Cora,rpgcl_auto,0,0,0.7971349353049908,0.7971349353049908,0.7730628546534373,0.8272058823529411,0.1,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,0.5635236501693726,hpfs,0.8272058823529411,0.7971349353049908,0.7730628546534373,0.7830882352941176,0.7920517560073937,0.7718197549468362,0.6066176470588235,0.583641404805915,0.5498366385642323
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_raw_features_seed0_split1_e50,Cora,raw_features,0,1,0.6118299445471349,0.6118299445471349,0.5767326491789584,0.5625,30.0,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_grace_seed0_split1_e50,Cora,grace,0,1,0.8036044362292052,0.8036044362292052,0.779065823665469,0.8198529411764706,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_rpgcl_auto_seed0_split1_e50,Cora,rpgcl_auto,0,1,0.8026802218114603,0.8026802218114603,0.7798918628954689,0.8272058823529411,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,0.5635236501693726,hpfs,0.8272058823529411,0.8026802218114603,0.7798918628954689,0.7904411764705882,0.7795748613678374,0.742322815240665,0.5625,0.6118299445471349,0.5767326491789584
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_raw_features_seed0_split2_e50,Cora,raw_features,0,2,0.5854898336414048,0.5854898336414048,0.5462102258313744,0.5882352941176471,10.0,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_grace_seed0_split2_e50,Cora,grace,0,2,0.8008317929759704,0.8008317929759704,0.7796213480504758,0.8088235294117647,0.3,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_rpgcl_auto_seed0_split2_e50,Cora,rpgcl_auto,0,2,0.8077634011090573,0.8077634011090573,0.7862203334227014,0.8125,0.1,272,272,2164,272,272,2164,0.10044313222169876,0.10044313222169876,0.7991137504577637,stratified_1:1:8,2708,False,True,8,0.5,128,2,128,False,1.0,1.0,0.5635236501693726,hpfs,0.8125,0.8077634011090573,0.7862203334227014,0.7867647058823529,0.7846580406654344,0.7528025790390231,0.5882352941176471,0.5854898336414048,0.5462102258313744
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_raw_features_seed0_split0_e50,CiteSeer,raw_features,0,0,0.6050357008643367,0.6050357008643367,0.5500543152972285,0.6336336336336337,0.03,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,False,8,0.5,128,2,128,False,1.0,1.0
