run_dir,dataset,method,seed,split_index,accuracy,F1Mi,F1Ma,val_accuracy,best_c,train_ratio,val_ratio,test_ratio,shuffle_positives,neg_suppression,semantic_weight,num_negatives,raw_preserved,raw_weight,gcl_weight,rpgcl_auto_choice,semantic_top1_key_sim,rpgcl_auto_hpfs_val_accuracy,rpgcl_auto_hpfs_test_accuracy,rpgcl_auto_raw_preserved_hpfs_val_accuracy,rpgcl_auto_raw_preserved_hpfs_test_accuracy,rpgcl_auto_raw_features_val_accuracy,rpgcl_auto_raw_features_test_accuracy,rpgcl_auto_oracle_choice,rpgcl_auto_oracle_test_accuracy,delta_vs_grace_accuracy,delta_vs_grace_F1Mi,delta_vs_grace_F1Ma
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split0_e50,CiteSeer,grace,0,0,0.6914693724163848,0.6914693724163848,0.6274601596425454,0.7147147147147147,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split1_e50,CiteSeer,grace,0,1,0.7042465238632093,0.7042465238632093,0.636185059420563,0.7537537537537538,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split2_e50,CiteSeer,grace,0,2,0.6888387824126269,0.6888387824126269,0.6012950972502651,0.7297297297297297,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split3_e50,CiteSeer,grace,0,3,0.7140172867343104,0.7140172867343104,0.6304063785359825,0.6876876876876877,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split4_e50,CiteSeer,grace,0,4,0.7001127395715896,0.7001127395715896,0.636159199325765,0.6936936936936937,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split5_e50,CiteSeer,grace,0,5,0.7065013152950019,0.7065013152950019,0.6254324723888213,0.7147147147147147,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split6_e50,CiteSeer,grace,0,6,0.6929725667042466,0.6929725667042466,0.6359492349416777,0.7297297297297297,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split7_e50,CiteSeer,grace,0,7,0.713641488162345,0.713641488162345,0.6458049232148849,0.6906906906906907,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split8_e50,CiteSeer,grace,0,8,0.6858323938369034,0.6858323938369034,0.6396284440558196,0.6726726726726727,0.3,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_grace_seed0_split9_e50,CiteSeer,grace,0,9,0.6986095452837279,0.6986095452837279,0.6433479908346624,0.6906906906906907,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_raw_features_seed0_split0_e50,CiteSeer,raw_features,0,0,0.6050357008643367,0.6050357008643367,0.5500543152972285,0.6336336336336337,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.08643367155204817,-0.08643367155204817,-0.07740584434531694
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_raw_features_seed0_split1_e50,CiteSeer,raw_features,0,1,0.5960165351371665,0.5960165351371665,0.565011575215291,0.5945945945945946,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.10822998872604284,-0.10822998872604284,-0.07117348420527203
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_raw_features_seed0_split2_e50,CiteSeer,raw_features,0,2,0.6163096580232995,0.6163096580232995,0.5730347648211616,0.6516516516516516,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.07252912438932735,-0.07252912438932735,-0.02826033242910353
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_raw_features_seed0_split3_e50,CiteSeer,raw_features,0,3,0.6076662908680946,0.6076662908680946,0.5483052463023681,0.6396396396396397,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.10635099586621577,-0.10635099586621577,-0.08210113223361437
runs/rpgcl_auto_homophily_splits0-9_e50/CiteSeer_raw_features_seed0_split4_e50,CiteSeer,raw_features,0,4,0.6118000751597144,0.6118000751597144,0.5585250423330282,0.5735735735735735,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.08831266441187524,-0.08831266441187524,-0.07763415699273679
