dataset,split_index,seed,raw_features_accuracy,grace_accuracy,hpfs_gcl_accuracy,rpgcl_hpfs_accuracy,rpgcl_auto_accuracy,best_fixed_method,best_fixed_accuracy,auto_minus_grace,auto_minus_raw_features,auto_minus_hpfs_gcl,auto_minus_rpgcl_hpfs,auto_minus_best_fixed,rpgcl_auto_choice,rpgcl_auto_oracle_test_accuracy,rpgcl_auto_oracle_gap
CiteSeer,0,0,0.6050357008643367,0.6903419767004886,0.705749718151071,0.7132656895903795,0.7132656895903795,rpgcl_hpfs,0.7132656895903795,0.022923712889890924,0.10822998872604284,0.007515971439308489,0.0,0.0,raw_preserved_hpfs,0.7132656895903795,0.0
CiteSeer,1,0,0.5960165351371665,0.7046223224351748,0.7158962795941376,0.7166478767380684,0.7166478767380684,rpgcl_hpfs,0.7166478767380684,0.012025554302893648,0.12063134160090194,0.0007515971439308045,0.0,0.0,raw_preserved_hpfs,0.7166478767380684,0.0
CiteSeer,2,0,0.6163096580232995,0.6888387824126269,0.6993611424276588,0.7166478767380684,0.6989853438556933,rpgcl_hpfs,0.7166478767380684,0.01014656144306647,0.08267568583239382,-0.00037579857196545774,-0.01766253288237507,-0.01766253288237507,hpfs,0.7162720781661029,0.017286734310409613
CiteSeer,3,0,0.6076662908680946,0.7140172867343104,0.7128898910184142,0.7189026681698609,0.7189026681698609,rpgcl_hpfs,0.7189026681698609,0.0048853814355505065,0.11123637730176628,0.006012777151446769,0.0,0.0,raw_preserved_hpfs,0.7189026681698609,0.0
CiteSeer,4,0,0.6118000751597144,0.6997369409996242,0.7155204810221721,0.7264186396091695,0.7155204810221721,rpgcl_hpfs,0.7264186396091695,0.015783540022547893,0.10372040586245779,0.0,-0.010898158586997386,-0.010898158586997386,hpfs,0.7177752724539647,0.0022547914317925244
CiteSeer,5,0,0.608793686583991,0.7065013152950019,0.7185268695978956,0.7087561067267945,0.7087561067267945,hpfs_gcl,0.7185268695978956,0.0022547914317925244,0.09996242014280343,-0.009770762871101124,0.0,-0.009770762871101124,raw_preserved_hpfs,0.7185268695978956,0.009770762871101124
CiteSeer,6,0,0.6027809094325441,0.6925967681322811,0.7125140924464487,0.7275460353250658,0.7121382938744832,rpgcl_hpfs,0.7275460353250658,0.019541525742202137,0.1093573844419391,-0.00037579857196545774,-0.015407741450582546,-0.015407741450582546,hpfs,0.7275460353250658,0.015407741450582546
CiteSeer,7,0,0.6080420894400601,0.7128898910184142,0.7267944381811349,0.7181510710259301,0.7267944381811349,hpfs_gcl,0.7267944381811349,0.013904547162720715,0.11875234874107476,0.0,0.00864336715520475,0.0,hpfs,0.7267944381811349,0.0
CiteSeer,8,0,0.6283352123261932,0.6850807966929726,0.6952273581360391,0.7170236753100339,0.7170236753100339,rpgcl_hpfs,0.7170236753100339,0.03194287861706124,0.0886884629838407,0.021796317173994773,0.0,0.0,raw_preserved_hpfs,0.7170236753100339,0.0
CiteSeer,9,0,0.6178128523111612,0.6986095452837279,0.7140172867343104,0.7249154453213078,0.7249154453213078,rpgcl_hpfs,0.7249154453213078,0.026305900037579932,0.10710259301014657,0.010898158586997386,0.0,0.0,raw_preserved_hpfs,0.7249154453213078,0.0
Cora,0,0,0.583641404805915,0.7957486136783734,0.7971349353049908,0.7920517560073937,0.7971349353049908,hpfs_gcl,0.7971349353049908,0.0013863216266174483,0.21349353049907582,0.0,0.005083179297597051,0.0,hpfs,0.7971349353049908,0.0
Cora,1,0,0.6118299445471349,0.8036044362292052,0.8022181146025879,0.7795748613678374,0.8022181146025879,hpfs_gcl,0.8022181146025879,-0.0013863216266173373,0.19038817005545294,0.0,0.02264325323475047,0.0,hpfs,0.8022181146025879,0.0
Cora,2,0,0.5854898336414048,0.8012939001848429,0.8073012939001848,0.7846580406654344,0.8086876155268022,hpfs_gcl,0.8073012939001848,0.007393715341959317,0.2231977818853974,0.0013863216266174483,0.02402957486136781,0.0013863216266174483,hpfs,0.8086876155268022,0.0
Cora,3,0,0.5891866913123844,0.7828096118299446,0.7989833641404805,0.7754158964879853,0.7985212569316081,hpfs_gcl,0.7989833641404805,0.015711645101663563,0.2093345656192237,-0.00046210720887240875,0.02310536044362288,-0.00046210720887240875,hpfs,0.7985212569316081,0.0
Cora,4,0,0.5697781885397413,0.7754158964879853,0.7703327171903882,0.7777264325323475,0.7781885397412199,rpgcl_hpfs,0.7777264325323475,0.0027726432532346745,0.20841035120147866,0.007855822550831726,0.00046210720887240875,0.00046210720887240875,raw_preserved_hpfs,0.7869685767097967,0.008780036968576765
Cora,5,0,0.577634011090573,0.7902033271719039,0.7989833641404805,0.7795748613678374,0.7985212569316081,hpfs_gcl,0.7989833641404805,0.008317929759704246,0.22088724584103514,-0.00046210720887240875,0.018946395563770757,-0.00046210720887240875,hpfs,0.7985212569316081,0.0
Cora,6,0,0.6076709796672828,0.7994454713493531,0.7994454713493531,0.7855822550831792,0.7985212569316081,hpfs_gcl,0.7994454713493531,-0.0009242144177449285,0.19085027726432535,-0.0009242144177449285,0.012939001848428888,-0.0009242144177449285,hpfs,0.7985212569316081,0.0
Cora,7,0,0.5965804066543438,0.7952865064695009,0.8142329020332717,0.7740295748613678,0.8128465804066544,hpfs_gcl,0.8142329020332717,0.01756007393715342,0.2162661737523106,-0.0013863216266173373,0.038817005545286554,-0.0013863216266173373,hpfs,0.8128465804066544,0.0
Cora,8,0,0.6072088724584104,0.7878927911275416,0.794362292051756,0.7698706099815157,0.7952865064695009,hpfs_gcl,0.794362292051756,0.007393715341959317,0.18807763401109057,0.0009242144177449285,0.025415896487985257,0.0009242144177449285,hpfs,0.7952865064695009,0.0
Cora,9,0,0.5901109057301294,0.7939001848428835,0.8114602587800369,0.7749537892791127,0.8114602587800369,hpfs_gcl,0.8114602587800369,0.01756007393715342,0.22134935304990755,0.0,0.03650646950092418,0.0,hpfs,0.8114602587800369,0.0
PubMed,0,0,0.8293285995054841,0.8357319469980347,0.8345273568756736,0.8494262347048754,0.8493628352247512,rpgcl_hpfs,0.8494262347048754,0.013630888226716542,0.0200342357192671,0.014835478349077613,-6.339948012423768e-05,-6.339948012423768e-05,raw_preserved_hpfs,0.8493628352247512,0.0
PubMed,1,0,0.8356051480377861,0.8370633360806441,0.8343371584353009,0.8579217650415266,0.8576047676409053,rpgcl_hpfs,0.8579217650415266,0.020541431560261225,0.021999619603119247,0.023267609205604445,-0.00031699740062129944,-0.00031699740062129944,raw_preserved_hpfs,0.8576047676409053,0.0
PubMed,2,0,0.8312939833893362,0.8342737589551765,0.8338299625943068,0.849806631585621,0.8498700310657452,rpgcl_hpfs,0.849806631585621,0.015596272110568687,0.01857604767640897,0.016040068471438462,6.339948012423768e-05,6.339948012423768e-05,raw_preserved_hpfs,0.8498700310657452,0.0
PubMed,3,0,0.8266024218601408,0.8357953464781589,0.8366829391998986,0.8489824383440056,0.8490458378241298,rpgcl_hpfs,0.8489824383440056,0.013250491345970894,0.022443415963989022,0.012362898624231233,6.339948012423768e-05,6.339948012423768e-05,raw_preserved_hpfs,0.8490458378241298,0.0
PubMed,4,0,0.8332593672731884,0.8311037849489634,0.8277436125023775,0.8493628352247512,0.8492994357446269,rpgcl_hpfs,0.8493628352247512,0.01819565079566343,0.016040068471438462,0.02155582324224936,-6.33994801243487e-05,-6.33994801243487e-05,raw_preserved_hpfs,0.8492994357446269,0.0
PubMed,5,0,0.8318011792303303,0.8328789703924427,0.8328789703924427,0.8492360362645026,0.8493628352247512,rpgcl_hpfs,0.8492360362645026,0.01648386483230846,0.017561655994420944,0.01648386483230846,0.0001267989602485864,0.0001267989602485864,raw_preserved_hpfs,0.8493628352247512,0.0
PubMed,6,0,0.8379509288023839,0.8378241298421353,0.8388385215241235,0.8536106003930768,0.8533570024725797,rpgcl_hpfs,0.8536106003930768,0.01553287263044445,0.015406073670195863,0.014518480948456203,-0.00025359792049706176,-0.00025359792049706176,raw_preserved_hpfs,0.8533570024725797,0.0
PubMed,7,0,0.831737779750206,0.8290116021048627,0.8344005579154251,0.8530400050719584,0.8528498066315856,rpgcl_hpfs,0.8530400050719584,0.023838204526722917,0.021112026881379586,0.018449248716160493,-0.00019019844037282407,-0.00019019844037282407,raw_preserved_hpfs,0.8528498066315856,0.0
PubMed,8,0,0.8268560197806378,0.8275534140620047,0.8313573828694605,0.8485386419831358,0.8487922399036328,rpgcl_hpfs,0.8485386419831358,0.021238825841628173,0.02193622012299501,0.017434857034172357,0.00025359792049706176,0.00025359792049706176,raw_preserved_hpfs,0.8487922399036328,0.0
PubMed,9,0,0.8324985735116972,0.8297089963862296,0.836048944398656,0.8518354149495974,0.8515818170291004,rpgcl_hpfs,0.8518354149495974,0.02187282064287077,0.019083243517403203,0.01553287263044445,-0.00025359792049695074,-0.00025359792049695074,raw_preserved_hpfs,0.8515818170291004,0.0
